Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,54.37857917570499,,,,,,,,,
2013,56.45986984815619,,,,,,,,,
2014,58.54116052060738,,,,,,,,,
2015,60.622451193058566,,,,,,,,,
2016,61.3,,,,,,,,,
2017,64.78503253796096,,,,,,,,,
2018,66.86632321041215,,,,,,,,,
2019,68.94761388286334,,,,,,,,,
2020,70.4,,,,,,,,,
2021,73.11019522776573,,,,,,,,,
2022,75.19148590021692,,,,,,,,,
2023,77.2727765726681,,,,,,,,,
2024,79.3540672451193,,,,,,,,,
2025,81.4353579175705,,,,,,,,,
2026,83.51664859002169,,,,,,,,,
2027,85.59793926247288,,,,,,,,,
2028,87.67922993492408,,,,,,,,,
2029,89.76052060737527,,,,,,,,,
2030,93.1,,,,,,,,,
2031,93.92310195227765,,,,,,,,,
2032,96.00439262472884,,,,,,,,,
2033,98.08568329718004,,,,,,,,,
2034,100.16697396963123,,,,,,,,,
2035,102.24826464208242,,,,,,,,,
2036,104.32955531453362,,,,,,,,,
2037,106.41084598698481,,,,,,,,,
2038,108.492136659436,,,,,,,,,
2039,110.57342733188719,,,,,,,,,
2040,112.65471800433838,,,,,,,,,
2041,114.73600867678958,,,,,,,,,
2042,116.81729934924077,,,,,,,,,
2043,118.89859002169196,,,,,,,,,
2044,120.97988069414316,,,,,,,,,
2045,123.06117136659435,,,,,,,,,
2046,125.14246203904554,,,,,,,,,
2047,127.22375271149673,,,,,,,,,
2048,129.30504338394792,,,,,,,,,
2049,131.3863340563991,,,,,,,,,
2050,133.4676247288503,,,,,,,,,
2051,135.54891540130149,,,,,,,,,
2052,137.6302060737527,,,,,,,,,
2053,139.7114967462039,,,,,,,,,
2054,141.79278741865508,,,,,,,,,
2055,143.87407809110627,,,,,,,,,
2056,145.95536876355746,,,,,,,,,
2057,148.03665943600868,,,,,,,,,
2058,150.11795010845987,,,,,,,,,
2059,152.19924078091105,,,,,,,,,
2060,154.28053145336224,,,,,,,,,
