Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2102262033538.1826,,,,,,,,,
2013,2195515808546.0767,,,,,,,,,
2014,2292688807698.845,,,,,,,,,
2015,2437552311166.7617,,,,,,,,,
2016,2498626865112.736,,,,,,,,,
2017,2607309116710.723,,,,,,,,,
2018,2719744979127.3154,,,,,,,,,
2019,2835893049030.946,,,,,,,,,
2020,2943043321388.4053,,,,,,,,,
2021,3079160197973.05,,,,,,,,,
2022,3206196470348.3896,,,,,,,,,
2023,3336779336884.498,,,,,,,,,
2024,3470867394249.8076,,,,,,,,,
2025,3594636795072.3076,,,,,,,,,
2026,3749393468141.762,,,,,,,,,
2027,3893748678005.272,,,,,,,,,
2028,4041443465371.714,,,,,,,,,
2029,4192436426909.5215,,,,,,,,,
2030,4339225896370.4727,,,,,,,,,
2031,4504151259172.961,,,,,,,,,
2032,4664790323235.459,,,,,,,,,
2033,4828561948143.053,,,,,,,,,
2034,4995424730564.175,,,,,,,,,
2035,5166811278399.105,,,,,,,,,
2036,5338258154620.736,,,,,,,,,
2037,5514145989593.04,,,,,,,,,
2038,5692959368752.604,,,,,,,,,
2039,5874656888767.858,,,,,,,,,
2040,6064264006348.223,,,,,,,,,
2041,6246538738039.177,,,,,,,,,
2042,6436640260632.1045,,,,,,,,,
2043,6629460310754.455,,,,,,,,,
2044,6824957485074.661,,,,,,,,,
2045,7035736496576.928,,,,,,,,,
2046,7223817592982.371,,,,,,,,,
2047,7427097719906.74,,,,,,,,,
2048,7632889357702.696,,,,,,,,,
2049,7841151103038.672,,,,,,,,,
2050,8042643911717.325,,,,,,,,,
2051,8264919303004.41,,,,,,,,,
2052,8480342950971.039,,,,,,,,,
2053,8698071093151.419,,,,,,,,,
2054,8918062326213.979,,,,,,,,,
2055,9140275246827.154,,,,,,,,,
2056,9364668451659.379,,,,,,,,,
2057,9591200537379.086,,,,,,,,,
2058,9819830100654.705,,,,,,,,,
2059,10050515738154.672,,,,,,,,,
2060,10283216046547.418,,,,,,,,,
