Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2549247.597730849,,,,,,,,,
2013,2794729.8865359216,,,,,,,,,
2014,2773683.210138634,,,,,,,,,
2015,3500239.014187598,,,,,,,,,
2016,3573227.4399416917,,,,,,,,,
2017,3718588.2352377344,,,,,,,,,
2018,4151692.738580176,,,,,,,,,
2019,5788449.220681343,,,,,,,,,
2020,5980228.431472151,,,,,,,,,
2021,6162485.5984609,,,,,,,,,
2022,6340104.078667258,,,,,,,,,
2023,6514067.864820235,,,,,,,,,
2024,6685264.10898841,,,,,,,,,
2025,6854602.079165656,,,,,,,,,
2026,7023080.452991566,,,,,,,,,
2027,7191751.044808397,,,,,,,,,
2028,7361615.150499685,,,,,,,,,
2029,7533676.502987406,,,,,,,,,
2030,7708925.682962988,,,,,,,,,
2031,7888336.126438546,,,,,,,,,
2032,8072895.62605825,,,,,,,,,
2033,8263646.909595981,,,,,,,,,
2034,8461654.335132154,,,,,,,,,
2035,8667949.528900746,,,,,,,,,
2036,8883524.021725722,,,,,,,,,
2037,9109300.775732165,,,,,,,,,
2038,9346151.599181928,,,,,,,,,
2039,9594900.118133774,,,,,,,,,
2040,9856380.660403602,,,,,,,,,
2041,10131480.646801084,,,,,,,,,
2042,10421112.690892316,,,,,,,,,
2043,10726150.728214873,,,,,,,,,
2044,11047465.625204353,,,,,,,,,
2045,11385919.928118924,,,,,,,,,
2046,11742365.2263193,,,,,,,,,
2047,12117646.46085207,,,,,,,,,
2048,12512606.540495083,,,,,,,,,
2049,12928083.547960296,,,,,,,,,
2050,13364905.247970426,,,,,,,,,
2051,13823889.497747766,,,,,,,,,
2052,14305842.5367313,,,,,,,,,
2053,14811559.556910463,,,,,,,,,
2054,15341825.183270875,,,,,,,,,
2055,15897416.711090446,,,,,,,,,
2056,16479105.65717869,,,,,,,,,
2057,17087657.9345451,,,,,,,,,
2058,17723834.348030258,,,,,,,,,
2059,18388390.788220022,,,,,,,,,
2060,19082074.808005296,,,,,,,,,
