Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2549247.597730849,,,,,,,,,
2013,2794729.8865359216,,,,,,,,,
2014,2773683.210138634,,,,,,,,,
2015,3500239.014187598,,,,,,,,,
2016,3573227.4399416917,,,,,,,,,
2017,3718588.2352377344,,,,,,,,,
2018,4151692.738580176,,,,,,,,,
2019,4309457.062646222,,,,,,,,,
2020,4473216.431026779,,,,,,,,,
2021,4640235.866749223,,,,,,,,,
2022,4813266.887713817,,,,,,,,,
2023,4992504.695859307,,,,,,,,,
2024,5178052.54862244,,,,,,,,,
2025,5370045.636398937,,,,,,,,,
2026,5568733.94115176,,,,,,,,,
2027,5774437.80107821,,,,,,,,,
2028,5987429.077906814,,,,,,,,,
2029,6207995.10514599,,,,,,,,,
2030,6436431.681105916,,,,,,,,,
2031,6673032.153578834,,,,,,,,,
2032,6918131.82809454,,,,,,,,,
2033,7172153.380765086,,,,,,,,,
2034,7435574.537878224,,,,,,,,,
2035,7708860.191298501,,,,,,,,,
2036,7992439.478725326,,,,,,,,,
2037,8286687.613383565,,,,,,,,,
2038,8591959.706954367,,,,,,,,,
2039,8908580.145851452,,,,,,,,,
2040,9236898.519987937,,,,,,,,,
2041,9577334.937055696,,,,,,,,,
2042,9930348.941530703,,,,,,,,,
2043,10296374.778965127,,,,,,,,,
2044,10675857.55150985,,,,,,,,,
2045,11069257.86370447,,,,,,,,,
2046,11477061.958308369,,,,,,,,,
2047,11899771.542353645,,,,,,,,,
2048,12337894.157187032,,,,,,,,,
2049,12791950.705233604,,,,,,,,,
2050,13262483.790351773,,,,,,,,,
2051,13750065.74471913,,,,,,,,,
2052,14255294.892393824,,,,,,,,,
2053,14778786.924968693,,,,,,,,,
2054,15321182.687119367,,,,,,,,,
2055,15883148.347552491,,,,,,,,,
2056,16465374.560688261,,,,,,,,,
2057,17068584.748579066,,,,,,,,,
2058,17693546.225622375,,,,,,,,,
2059,18341064.021944124,,,,,,,,,
2060,19011973.906858645,,,,,,,,,
