"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Bauer (2013) Global fossil energy markets and climate change mitigation – an analysis with REMIND,,,,,,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,Asia (Sans Japan),Philippines,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,Asia (Sans Japan),India,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,World,World Bank,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,World,World Bank,,2007,,,,,,,,
New Zealand Treasury (2008),,OECD90,New Zealand,,2008,,,,,,,,
"Treasury Board of Canada (2007, p. 37, 1998, p. 45)",,OECD90,Canada,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,Asia (Sans Japan),China,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,USA,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,EU,EU,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,Italy,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,The Netherlands,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,France,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,UK,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,Norway,,2007,,,,,,,,
"Zhuang et al. (2007, table 4, pp. 17-18, 20)",,OECD90,Germany,,2007,,,,,,,,
US -  EPA (2007),,OECD90,USA,,2007,,,,,,,,
US -  EPA (2007),,OECD90,USA,,2007,,,,,,,,
"Nordhaus (2007, pp. 694, 698-700)",,World,,,2007,,,,,,,,
"Cole (2007, p. 10) and Weitzman (2007, p. 708) - Stern Rerport",,World,,,2007,,,,,,,,
