"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
International Union of Railways,http://www.uic.org/IMG/pdf/synopsis_2015_print_5_.pdf,World,,2 - Public Sector/ Multilateral Agency,2014,,9.687377347946445,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.2677056330720422,
International Union of Railways,http://old.uic.org/spip.php?article3421,Asia (Sans Japan),China (Pop Rep),2 - Public Sector/ Multilateral Agency,2014,,34.463404439534855,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.5501052411589963,
International Union of Railways,http://old.uic.org/spip.php?article3421,Eastern Europe,Russia,2 - Public Sector/ Multilateral Agency,2014,,26.957568081063965,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.5084676189806019,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,Eastern Europe,Estonia,2 - Public Sector/ Multilateral Agency,2014,,1.517241379310345,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.06150978564771668,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,OECD90,Ireland,2 - Public Sector/ Multilateral Agency,2014,,0.04130524576621231,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.05989260636100785,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,Eastern Europe,Croatia,2 - Public Sector/ Multilateral Agency,2014,,0.5279023418036871,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.24165421026407574,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,Eastern Europe,Latvia,2 - Public Sector/ Multilateral Agency,2014,,8.780939476061427,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.11336946702800361,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,OECD90,UK,2 - Public Sector/ Multilateral Agency,2014,,3.4378979378504226,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.17045202572143558,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,Eastern Europe,Poland,2 - Public Sector/ Multilateral Agency,2014,,1.3661364690475541,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.32275666384743407,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,Eastern Europe,Romania,2 - Public Sector/ Multilateral Agency,2014,,0.6058989180376464,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.1990514302653031,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,Eastern Europe,Slovenia,2 - Public Sector/ Multilateral Agency,2014,,1.8870523415977962,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.2295684113865932,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,OECD90,Finland,2 - Public Sector/ Multilateral Agency,2014,,1.1310548025928109,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.38373600471420155,
Eurostat,http://ec.europa.eu/eurostat/web/transport/data/database,OECD90,Turkey,2 - Public Sector/ Multilateral Agency,2014,,0.9624989629137973,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.27627976437401475,
International Union of Railways,http://old.uic.org/spip.php?article3421,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,2014,,10.11758448820812,million tonne-km/km track electrified,,million tonne-km/km of track converted/year,,0.3284403112083637,
