"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Cardinael et al 2017; SOC accumulation rate in silvoarable system, wheat/rapeseed/walnut; Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., ... & Chenu, C. (2017). Increased soil organic carbon stocks under agroforestry: a survey of six different sites in France. Agriculture, Ecosystems & Environment, 236, 243-255.",https://www.sciencedirect.com/science/article/pii/S0167880916305928,EU,France,Temperate/Boreal-Humid,1  - Peer Reviewed,2017,,0.3,MgC/ha/yr,,MgC/ha/yr,,"Reported C stock accumulation rate for AF/Control (at 0-10 cm depth), CH system, see Table 4",
"Cardinael et al 2017; SOC accumulation rate in silvoarable system, wheat/rapeseed/sunflower/walnut; Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., ... & Chenu, C. (2017). Increased soil organic carbon stocks under agroforestry: a survey of six different sites in France. Agriculture, Ecosystems & Environment, 236, 243-255.",https://www.sciencedirect.com/science/article/pii/S0167880916305928,EU,France,Temperate/Boreal-Humid,1  - Peer Reviewed,2017,,0.24,MgC/ha/yr,,MgC/ha/yr,,"Reported C stock accumulation rate for AF/Control (at 0-10 cm depth), ME system, see Table 4",
"Cardinael et al 2017; SOC accumulation rate in silvoarable system, wheat/barley/sunflower/walnut; Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., ... & Chenu, C. (2017). Increased soil organic carbon stocks under agroforestry: a survey of six different sites in France. Agriculture, Ecosystems & Environment, 236, 243-255.",https://www.sciencedirect.com/science/article/pii/S0167880916305928,EU,France,Temperate/Boreal-Humid,1  - Peer Reviewed,2017,,0.3,MgC/ha/yr,,MgC/ha/yr,,"Reported C stock accumulation rate for AF/Control (at 0-10 cm depth), SJ system, see Table 4",
"Cardinael et al 2017; SOC accumulation rate in silvoarable system, wheat/rapeseed/potato/garlic/walnut; Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., ... & Chenu, C. (2017). Increased soil organic carbon stocks under agroforestry: a survey of six different sites in France. Agriculture, Ecosystems & Environment, 236, 243-255.",https://www.sciencedirect.com/science/article/pii/S0167880916305928,EU,France,Temperate/Boreal-Humid,1  - Peer Reviewed,2017,,0.07,MgC/ha/yr,,MgC/ha/yr,,"Reported C stock accumulation rate for AF/Control (at 0-10 cm depth), VE system, see Table 4",
"Cardinael et al 2017; SOC accumulation rate in silvoarable system, durum wheat/rapeseed/chickpea/walnut; Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., ... & Chenu, C. (2017). Increased soil organic carbon stocks under agroforestry: a survey of six different sites in France. Agriculture, Ecosystems & Environment, 236, 243-255.",https://www.sciencedirect.com/science/article/pii/S0167880916305928,EU,France,Temperate/Boreal-Humid,1  - Peer Reviewed,2017,,0.13,MgC/ha/yr,,MgC/ha/yr,,"Reported C stock accumulation rate for AF/Control (at 0-10 cm depth), RE system, see Table 4",
"Swamy and Puri, 2005; calculated C sequestration in leaf+stem+branch biomass; Swamy, S. L., & Puri, S. (2005). Biomass production and C-sequestration of Gmelina arborea in plantation and agroforestry system in India. Agroforestry systems, 64(3), 181-195.",https://link.springer.com/article/10.1007/s10457-004-1999-3,Asia (Sans Japan),India,Tropical-Semi-Arid,1  - Peer Reviewed,2005,,0.42000000000000004,MgC/ha/yr,,t C/ha/yr,,"Calculated net C storage in 0-60cm of soil in a gmelina/soybean/cowpea/wheat/mustard AF, 5 years after establishment. See Table 8",
"Peichl et al 2006; soil C content in poplar/barley intercrop in southern Canada; Peichl, M., Thevathasan, N. V., Gordon, A. M., Huss, J., & Abohassan, R. A. (2006). Carbon sequestration potentials in temperate tree-based intercropping systems, southern Ontario, Canada. Agroforestry systems, 66(3), 243-257.",https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/s10457-005-0361-8.pdf&casa_token=5nxYRJ7ZxCEAAAAA:_04vSC7bfplzEuRm4E0Mq7PrK0qwCgFpWWaoO9u7LIb6bBMLb9pdcrB2oQDrJhpd_hmgYcr1-ZadybyxLg,OECD90,Canada,Temperate/Boreal-Humid,1  - Peer Reviewed,2006,,1.0384615384615385,t C/ha/yr,,t C/ha/yr,,Calculated net soil C content (difference between tree intercrop vs. sole barley) in a 13-year old poplar-barley intercrop. See Fig. 3,
"Peichl et al 2006; soil C content in norway spruce/barley intercrop in southern Canada; Peichl, M., Thevathasan, N. V., Gordon, A. M., Huss, J., & Abohassan, R. A. (2006). Carbon sequestration potentials in temperate tree-based intercropping systems, southern Ontario, Canada. Agroforestry systems, 66(3), 243-257.",https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/s10457-005-0361-8.pdf&casa_token=5nxYRJ7ZxCEAAAAA:_04vSC7bfplzEuRm4E0Mq7PrK0qwCgFpWWaoO9u7LIb6bBMLb9pdcrB2oQDrJhpd_hmgYcr1-ZadybyxLg,OECD90,Canada,Temperate/Boreal-Humid,1  - Peer Reviewed,2006,,0.07692307692307693,t C/ha/yr,,t C/ha/yr,,Calculated net soil C content (difference between tree intercrop vs. sole barley) in a 13-year old norway spruce-barley intercrop. See Fig. 3,
"Kim, 2012; reported net SOC (0-2m depth) sequestration in 7-year old intercrop compared to sole maize; Kim, D. G. (2012). Estimation of net gain of soil carbon in a nitrogen-fixing tree and crop intercropping system in sub-Saharan Africa: results from re-examining a study. Agroforestry Systems, 86(2), 175-184.",https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10457-011-9477-1&casa_token=rfszV1wnVW8AAAAA:_L_XI8CI2k9N7rHi_EyQuJdtLG_gyAd4TBLsTAe1_rJohFqMrIdSA6KXx_UBEPYmEqFPM5oT0OuuMV5_pQ,Middle East and Africa,Sub-Saharan Africa,Tropical-Semi-Arid,1  - Peer Reviewed,2012,,10.9,MgC/ha/yr,,t C/ha/yr,,"Reported SOC net sequestration in 7-year old tree intercropping system compared to sole maize system (see p. 176) - excluded, seems very high",1.0
"Lenka et al., 2012; measured net SOC sequestration in indigofera/grass intercrop compared to sole grass, India; Lenka, N. K., Dass, A., Sudhishri, S., & Patnaik, U. S. (2012). Soil carbon sequestration and erosion control potential of hedgerows and grass filter strips in sloping agricultural lands of eastern India. Agriculture, ecosystems & environment, 158, 31-40.",https://www.sciencedirect.com/science/article/pii/S016788091200196X,India,India,Tropical-Semi-Arid,1  - Peer Reviewed,2012,,0.262,t C/ha/yr,,t C/ha/yr,,Measured net SOC sequestration in indigofera/grass intercrop (difference between intercrop and sole grass). See Table 8,
"Lenka et al., 2012; measured net SOC sequestration in gliricidia/grass intercrop compared to sole grass, India; Lenka, N. K., Dass, A., Sudhishri, S., & Patnaik, U. S. (2012). Soil carbon sequestration and erosion control potential of hedgerows and grass filter strips in sloping agricultural lands of eastern India. Agriculture, ecosystems & environment, 158, 31-40.",https://www.sciencedirect.com/science/article/pii/S016788091200196X,India,India,Tropical-Semi-Arid,1  - Peer Reviewed,2012,,0.284,t C/ha/yr,,t C/ha/yr,,Measured net SOC sequestration in gliricidia/grass intercrop (difference between intercrop and sole grass). See Table 8,
"Gupta et al., 2009; net SOC (difference between tree intercrop and sole crop) at 0-30cm depth in 1-year old poplar-based tree intercropping system ; Gupta, N., Kukal, S. S., Bawa, S. S., & Dhaliwal, G. S. (2009). Soil organic carbon and aggregation under poplar based agroforestry system in relation to tree age and soil type. Agroforestry Systems, 76(1), 27-35.",https://www.researchgate.net/profile/Naveen_Gupta19/publication/225493903_Soil_organic_carbon_and_aggregation_under_poplar_based_agroforestry_system_in_relation_to_tree_age_and_soil_type/links/54068b340cf2bba34c1e4c5b/Soil-organic-carbon-and-aggregation-under-poplar-based-agroforestry-system-in-relation-to-tree-age-and-soil-type.pdf,India,India,Tropical-Semi-Arid,1  - Peer Reviewed,2009,,6.0,MgC/ha/yr,,t C/ha/yr,,Measured net SOC sequestered in 1-year old poplar agroforestry for 0-30cm soil depth (calculated difference between tree intercrop values and sole crop values). See Table 3,
"Gupta et al., 2009; net SOC (difference between tree intercrop and sole crop) at 0-30cm depth in 3-year old poplar-based tree intercropping system ; Gupta, N., Kukal, S. S., Bawa, S. S., & Dhaliwal, G. S. (2009). Soil organic carbon and aggregation under poplar based agroforestry system in relation to tree age and soil type. Agroforestry Systems, 76(1), 27-35.",https://www.researchgate.net/profile/Naveen_Gupta19/publication/225493903_Soil_organic_carbon_and_aggregation_under_poplar_based_agroforestry_system_in_relation_to_tree_age_and_soil_type/links/54068b340cf2bba34c1e4c5b/Soil-organic-carbon-and-aggregation-under-poplar-based-agroforestry-system-in-relation-to-tree-age-and-soil-type.pdf,India,India,Tropical-Semi-Arid,1  - Peer Reviewed,2009,,2.6366666666666654,MgC/ha/yr,,t C/ha/yr,,Measured net SOC sequestered in 3-year old poplar agroforestry for 0-30cm soil depth (calculated difference between tree intercrop values and sole crop values). See Table 3,
"Gupta et al., 2009; net SOC (difference between tree intercrop and sole crop) at 0-30cm depth in 6-year old poplar-based tree intercropping system ; Gupta, N., Kukal, S. S., Bawa, S. S., & Dhaliwal, G. S. (2009). Soil organic carbon and aggregation under poplar based agroforestry system in relation to tree age and soil type. Agroforestry Systems, 76(1), 27-35.",https://www.researchgate.net/profile/Naveen_Gupta19/publication/225493903_Soil_organic_carbon_and_aggregation_under_poplar_based_agroforestry_system_in_relation_to_tree_age_and_soil_type/links/54068b340cf2bba34c1e4c5b/Soil-organic-carbon-and-aggregation-under-poplar-based-agroforestry-system-in-relation-to-tree-age-and-soil-type.pdf,India,India,Tropical-Semi-Arid,1  - Peer Reviewed,2009,,1.9633333333333336,MgC/ha/yr,,t C/ha/yr,,Measured net SOC sequestered in 6-year old poplar agroforestry for 0-30cm soil depth (calculated difference between tree intercrop values and sole crop values). See Table 3,
"Cardinael et al., 2015; excluded (SOC only); Cardinael, R., Chevallier, T., Barthès, B. G., Saby, N. P., Parent, T., Dupraz, C., ... & Chenu, C. (2015). Impact of alley cropping agroforestry on stocks, forms and spatial distribution of soil organic carbon—A case study in a Mediterranean context. Geoderma, 259, 288-299.",https://www.researchgate.net/profile/Remi_Cardinael/publication/280035065_Impact_of_alley_cropping_agroforestry_on_stocks_forms_and_spatial_distribution_of_soil_organic_carbon_-_A_case_study_in_a_Mediterranean_context/links/59f965d7458515547c26c0e8/Impact-of-alley-cropping-agroforestry-on-stocks-forms-and-spatial-distribution-of-soil-organic-carbon-A-case-study-in-a-Mediterranean-context.pdf,OECD90,Southern France,Temperate/Boreal-Humid,1  - Peer Reviewed,,,248.0,kgC/ha/yr,0.248,t C/ha/yr,,Reported difference in SOC accumulation rate between walnut/wheat agroforestry system and wheat monoculture. See Abstract.,
"Oelbermann et al., 2006; SOC estimate in alley cropping system in Costa Rica; Oelbermann, M., Voroney, R. P., Thevathasan, N. V., Gordon, A. M., Kass, D. C., & Schlönvoigt, A. M. (2006). Soil carbon dynamics and residue stabilization in a Co",https://www.researchgate.net/profile/Maren_Oelbermann/publication/226197818_Soil_carbon_dynamics_and_residue_stabilization_in_a_Costa_Rican_and_southern_Canadian_alley_cropping_system/links/02e7e52375c70471e0000000/Soil-carbon-dynamics-and-residue-stabilization-in-a-Costa-Rican-and-southern-Canadian-alley-cropping-system.pdf,Latin America,Costa Rica,Tropical-Humid,1  - Peer Reviewed,2006,,179.0,gC/m2/yr,1.79,t C/ha/yr,,SOC estimate for maize/bean alley cropping; see abstract,
