"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Wang 2002; shelterbelts case study in inner Mongolia, establishment costs per ha; Wang, Y. (2002) Shelterbelts for farmland in sandy areas: China - Farmland shelterbelts. Retrieved from WOCAT website: https://qt.wocat.net/qt_summary1.php?lang=english&qt_id=143",https://qt.wocat.net/qt_summary1.php?lang=english&qt_id=143,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2002,,125.0,US$2002,165.0,US$2014,,China case study - shelterbelts for farmland in sandy areas; corrected the year of data reported from 2006 to 2002,
"Mwaniki 2002; Grevillea AF system in Kenya, most commonly hedgerow system, establishment costs per ha; Mwaniki J. M. (2002) Grevillea agroforestry system. Retrieved from WOCAT website: https://qt.wocat.net/qt_summary1.php?qt_id=478&lang=english",https://qt.wocat.net/qt_summary1.php?qt_id=478&lang=english,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2002,,160.0,US$2002,211.20000000000002,US$2014,,Kenya case study - Grevillea agroforestry system; corrected the year of data reported from 2004 to 2002,
"Asanaliev 2011; poplar tree intercropping for bio-drainage, establishment costs per ha; Asanaliev A. (2011) Poplar trees for bio-drainage (Kyrgyzstan). Retrieved from WOCAT website: https://qcat.wocat.net/af/wocat/technologies/view/technologies_1098/",https://qcat.wocat.net/af/wocat/technologies/view/technologies_1098/,Asia (Sans Japan),Kyrgyzstan,2 - Public Sector/ Multilateral Agency,2011,,920.0,US$2011,966.0,US$2014,,Kyrgyzstan case study - poplar trees for bio-drainage; corrected the year of data reported from 2004 to 2011,
"Ergashev 2004; agro-silvopastoralism with fruit, grapes and grass, establishment costs per ha; Ergashev, M. (2004) Conversion of grazing land to fruit and fodder plots. Retrieved from WOCAT website: https://qt.wocat.net/qt_summary1.php?qt_id=167&lang=english",https://qt.wocat.net/qt_summary1.php?qt_id=167&lang=english,Asia (Sans Japan),Tajikistan,2 - Public Sector/ Multilateral Agency,2004,,2690.0,US$2004,3362.5,US$2014,,Tajikistan case study - conversion of grazing land to fruit and fodder plots; corrected the year of data reported from 2011 to 2004,
"Bühlmann 2011; fruit-orchard and annual crops, establishment costs per ha; Bühlmann E. (2011) Orchard-based Agroforestry (establishment of orchard) (Tajikistan). Retrieved from WOCAT website: https://qcat.wocat.net/af/summary/2969/",https://qcat.wocat.net/af/summary/2969/,Asia (Sans Japan),Tajikistan,2 - Public Sector/ Multilateral Agency,2004,,470.0,US$2011,493.5,US$2014,,Tajikistan case study - orchard-based agroforestry; corrected the value from 550 USD2004 to 470 USD2011,
"Van Thang et al 2015; Illicium verum + tea agroforestry system, establishment inputs (3 years); Van Thang, H., Van Do, T., Kozan, O., & Catacutan, D. C. (2015). Cost-benefit analysis for agroforestry systems in Vietnam.",http://www.worldagroforestry.org/sea/Publications/files/journal/JA0637-15.pdf,Asia (Sans Japan),Vietnam,1  - Peer Reviewed,2013,,890.0,US$2013,907.8000000000001,US$2014,,"Vietnam case study - Illcium vicum + tea; added up annual input cost based on values for years 1 - 3, see Table 1, p. 160",
"Van Thang et al 2015; Melia azedarach + cassava agroforestry system, establishment inputs (year 1); Van Thang, H., Van Do, T., Kozan, O., & Catacutan, D. C. (2015). Cost-benefit analysis for agroforestry systems in Vietnam.",http://www.worldagroforestry.org/sea/Publications/files/journal/JA0637-15.pdf,Asia (Sans Japan),Vietnam,1  - Peer Reviewed,2013,,1380.0,US$2013,1407.6000000000001,US$2014,,"Vietnam case study - Melia azedarach +cassava; refer table 2 (p. 162), input cost in year 1",
"Van Thang et al 2015; Acacia hybrid + cassava agroforestry system, establishment inputs (year 1); Van Thang, H., Van Do, T., Kozan, O., & Catacutan, D. C. (2015). Cost-benefit analysis for agroforestry systems in Vietnam.",http://www.worldagroforestry.org/sea/Publications/files/journal/JA0637-15.pdf,Asia (Sans Japan),Vietnam,1  - Peer Reviewed,2013,,1024.0,US$2013,1044.48,US$2014,,"Vietnam case study - Acacia hybrid + cassava; refer table 3 (p. 162), input cost in year 1",
"Van Thang et al 2015; Acacia mangium + maize agroforestry system, establishment inputs (year 1); Van Thang, H., Van Do, T., Kozan, O., & Catacutan, D. C. (2015). Cost-benefit analysis for agroforestry systems in Vietnam.",http://www.worldagroforestry.org/sea/Publications/files/journal/JA0637-15.pdf,Asia (Sans Japan),Vietnam,1  - Peer Reviewed,2013,,1642.0,US$2013,1674.84,US$2014,,"Vietnam case study - Acacia mangium + maize; refer table 4 (p. 162), input cost in year 1",
"Rinaudo 2010; tree-based regeneration case study in Niger, establishment costs per ha; Rinaudo T. (2010) Farmer Managed Natural Regeneration. Retrieved from WOCAT website: https://qt.wocat.net/qt_summary1.php?qt_id=54&lang=english",https://qt.wocat.net/qt_summary1.php?qt_id=54&lang=english,Middle East and Africa,Niger,2 - Public Sector/ Multilateral Agency,2010,,6.0,US$2010,6.540000000000001,US$2014,,Niger case study - farmer managed natural regeneration; corrected the year of data reported from 2009 to 2010 (note - there is no year mentioned in the report),
