Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,47.044078,0.027645,,26.748175,15.454843,4.813415,,,,
2013,51.365920359736315,0.03080356531000253,,30.738419163432308,15.682423444552171,4.914274186441835,,,,
2014,52.757906224146495,0.03198113518330874,,31.749148920922334,15.994881198527152,4.981894969513703,,,,
2015,54.176272211792806,0.03318865319114773,,32.780855556010195,16.312680761565908,5.04954724102555,,,,
2016,58.351221,0.03535,,36.922505,16.330024,5.063342,,,,
2017,57.0921445567938,0.03569353361042407,,34.90719945897944,16.964305314834746,5.18494624936919,,,,
2018,60.18051219107456,0.037642303162612314,,37.76323261499168,17.148093627946917,5.231543644973374,,,,
2019,62.27612301073975,0.03925596104311385,,39.49406299476574,17.446346280650808,5.296457774280114,,,,
2020,64.46650886422238,0.040935835743220364,,41.31878235196818,17.745547394791082,5.36124328171992,,,,
2021,66.75166975152243,0.04268192726293186,,43.237390686598985,18.045696970367736,5.425900167292792,,,,
2022,69.1316056726399,0.04449423560224833,,45.249887998658174,18.346795007380777,5.49042843099873,,,,
2023,71.60631662757481,0.04637276076116977,,47.35627428814573,18.648841505830198,5.554828072837734,,,,
2024,74.17580261632715,0.04831750273969619,,49.556549555061665,18.951836465716003,5.619099092809804,,,,
2025,76.84006363889691,0.0503284615378276,,51.850713799405966,19.25577988703819,5.68324149091494,,,,
2026,79.5990996952841,0.052405637155563976,,54.238767021178646,19.56067176979676,5.7472552671531405,,,,
2027,82.45291078548871,0.054549029592905335,,56.7207092203797,19.866512113991714,5.811140421524408,,,,
2028,85.40149690951074,0.05675863884985166,,59.29654039700913,20.17330091962305,5.874896954028742,,,,
2029,88.44485806735022,0.05903446492640298,,61.96626055106694,20.481038186690768,5.9385248646661415,,,,
2030,91.58299425900711,0.06137650782255926,,64.72986968255312,20.78972391519487,6.002024153436606,,,,
2031,94.81590548448145,0.06378476753832052,,67.58736779146766,21.099358105135355,6.0653948203401375,,,,
2032,98.1435917437732,0.06625924407368677,,70.53875487781059,21.40994075651222,6.128636865376735,,,,
2033,101.56605303688238,0.06879993742865799,,73.58403094158189,21.721471869325473,6.191750288546398,,,,
2034,105.083289363809,0.07140684760323418,,76.72319598278156,22.033951443575106,6.254735089849127,,,,
2035,108.69530072455302,0.07407997459741536,,79.9562500014096,22.34737947926112,6.317591269284922,,,,
2036,112.4020871191145,0.07681931841120151,,83.28319299746602,22.661755976383525,6.380318826853783,,,,
2037,116.20364854749337,0.07962487904459264,,86.70402497095081,22.977080934942304,6.44291776255571,,,,
2038,120.0999850096897,0.08249665649758875,,90.21874592186398,23.29335435493747,6.505388076390702,,,,
2039,124.09109650570346,0.08543465077018983,,93.82735585020552,23.610576236369017,6.567729768358761,,,,
2040,128.17698303553462,0.0884388618623959,,97.52985475597544,23.92874657923695,6.629942838459885,,,,
2041,132.35764459918323,0.09150928977420693,,101.32624263917373,24.247865383541264,6.692027286694076,,,,
2042,136.63308119664924,0.09464593450562295,,105.2165194998004,24.56793264928196,6.753983113061333,,,,
2043,141.0032928279327,0.09784879605664394,,109.20068533785543,24.88894837645904,6.815810317561654,,,,
2044,145.4682794930336,0.10111787442726991,,113.27874015333884,25.210912565072505,6.877508900195043,,,,
2045,150.02804119195193,0.10445316961750085,,117.45068394625062,25.53382521512235,6.939078860961497,,,,
2046,154.68257792468765,0.10785468162733679,,121.71651671659079,25.857686326608576,7.0005201998610165,,,,
2047,159.43188969124083,0.1113224104567777,,126.07623846435932,26.182495899531187,7.061832916893604,,,,
2048,164.27597649161143,0.11485635610582358,,130.52984918955622,26.50825393389018,7.123017012059255,,,,
2049,169.21483832579946,0.11845651857447444,,135.0773488921815,26.83496042968556,7.184072485357973,,,,
2050,174.2484751938049,0.12212289786273027,,139.71873757223517,27.162615386917317,7.244999336789757,,,,
2051,179.37688709562778,0.1258554939705911,,144.45401522971719,27.49121880558546,7.305797566354606,,,,
2052,184.6000740312681,0.12965430689805685,,149.28318186462758,27.820770685689986,7.366467174052522,,,,
2053,189.9180360007258,0.13351933664512763,,154.20623747696638,28.151271027230898,7.427008159883504,,,,
2054,195.330773004001,0.13745058321180337,,159.22318206673353,28.48271983020819,7.48742052384755,,,,
2055,200.83828504109357,0.1414480465980841,,164.33401563392903,28.81511709462186,7.547704265944664,,,,
2056,206.44057211200362,0.1455117268039698,,169.53873817855293,29.14846282047192,7.607859386174844,,,,
2057,212.13763421673104,0.14964162382946047,,174.83734970060522,29.48275700775836,7.667885884538089,,,,
2058,217.92947135527592,0.15383773767455614,,180.22985020008588,29.817999656481184,7.7277837610344005,,,,
2059,223.81608352763823,0.15810006833925677,,185.7162396769949,30.15419076664039,7.787553015663777,,,,
2060,229.79747073381793,0.16242861582356238,,191.29651813133228,30.49133033823598,7.84719364842622,,,,
