Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,13.78234091867671,,,,,,,,,
2013,19.603401450243837,,,,,,,,,
2014,25.424461981810964,,,,,,,,,
2015,31.24552251337991,,,,,,,,,
2016,37.06658304494704,,,,,,,,,
2017,42.887643576514165,,,,,,,,,
2018,48.70870410808129,,,,,,,,,
2019,54.52976463964842,,,,,,,,,
2020,60.350825171217366,,,,,,,,,
2021,66.1718857027845,,,,,,,,,
2022,71.99294623435162,,,,,,,,,
2023,77.81400676591875,,,,,,,,,
2024,83.63506729748588,,,,,,,,,
2025,89.45612782905482,,,,,,,,,
2026,95.27718836062195,,,,,,,,,
2027,101.09824889218908,,,,,,,,,
2028,106.9193094237562,,,,,,,,,
2029,112.74036995532333,,,,,,,,,
2030,118.56143048689046,,,,,,,,,
2031,121.1020325687532,,,,,,,,,
2032,123.64263465061504,,,,,,,,,
2033,126.18323673247687,,,,,,,,,
2034,128.7238388143387,,,,,,,,,
2035,131.26444089620054,,,,,,,,,
2036,133.80504297806237,,,,,,,,,
2037,136.34564505992512,,,,,,,,,
2038,138.88624714178695,,,,,,,,,
2039,141.4268492236488,,,,,,,,,
2040,143.96745130551062,,,,,,,,,
2041,146.50805338737246,,,,,,,,,
2042,149.0486554692343,,,,,,,,,
2043,151.58925755109613,,,,,,,,,
2044,154.12985963295796,,,,,,,,,
2045,156.6704617148207,,,,,,,,,
2046,159.21106379668254,,,,,,,,,
2047,161.75166587854437,,,,,,,,,
2048,164.2922679604062,,,,,,,,,
2049,166.83287004226804,,,,,,,,,
2050,169.37347212412988,,,,,,,,,
2051,169.37347212413036,,,,,,,,,
2052,169.37347212413036,,,,,,,,,
2053,169.37347212413036,,,,,,,,,
2054,169.37347212413036,,,,,,,,,
2055,169.37347212413036,,,,,,,,,
2056,169.37347212413036,,,,,,,,,
2057,169.37347212413036,,,,,,,,,
2058,169.37347212413036,,,,,,,,,
2059,169.37347212413036,,,,,,,,,
2060,169.37347212413036,,,,,,,,,
