"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,annual pigeon pea,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,cassava,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,common bean,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,cowpea,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,maize,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,peanut (in shell),
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,potato,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,rapeseed,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,rice,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,soybean,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,sunflower,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,sweet potato,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,taro,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,wheat,
"Project Drawdown 2016, based on FAOSTAT 2012 Data and edible portion and dry matter data from The Carbon Farming Solution Book by Toensmeier, E., 2016",,World,,,,,,tonns/hectare,,,,white yam,
