Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1531742.302287454,,,,,,,,,
2013,1808574.5259071456,,,,,,,,,
2014,2160373.739419085,,,,,,,,,
2015,2509139.139304026,,,,,,,,,
2016,2518225.783533159,,,,,,,,,
2017,3256925.265875349,,,,,,,,,
2018,3708340.695206166,,,,,,,,,
2019,1795210.7897550059,,,,,,,,,
2020,2489859.8839272913,,,,,,,,,
2021,3176227.462909151,,,,,,,,,
2022,3883382.5756950737,,,,,,,,,
2023,4608521.305734221,,,,,,,,,
2024,5351260.089681415,,,,,,,,,
2025,6196008.349055288,,,,,,,,,
2026,7027346.778429974,,,,,,,,,
2027,7670487.9287624955,,,,,,,,,
2028,8201226.830642013,,,,,,,,,
2029,8623294.668498037,,,,,,,,,
2030,9034053.3951432,,,,,,,,,
2031,9461247.723951941,,,,,,,,,
2032,9891011.228790523,,,,,,,,,
2033,10321697.884593943,,,,,,,,,
2034,10748104.10525005,,,,,,,,,
2035,11211865.184877101,,,,,,,,,
2036,11523066.29437616,,,,,,,,,
2037,11826587.244821927,,,,,,,,,
2038,12072824.4328235,,,,,,,,,
2039,12313785.800858585,,,,,,,,,
2040,12592244.602747152,,,,,,,,,
2041,12845255.330318483,,,,,,,,,
2042,13108107.809842655,,,,,,,,,
2043,13358854.21708628,,,,,,,,,
2044,13616745.328594683,,,,,,,,,
2045,13845200.71088959,,,,,,,,,
2046,14120786.611016585,,,,,,,,,
2047,14412041.109987548,,,,,,,,,
2048,14704226.562675359,,,,,,,,,
2049,15020553.224100256,,,,,,,,,
2050,15356949.089473095,,,,,,,,,
2051,15692950.618112976,,,,,,,,,
2052,16058246.869626628,,,,,,,,,
2053,16444838.470116565,,,,,,,,,
2054,16848631.448641237,,,,,,,,,
2055,17272877.54478158,,,,,,,,,
2056,17728325.29565888,,,,,,,,,
2057,18184573.202794164,,,,,,,,,
2058,18664698.198545035,,,,,,,,,
2059,19167486.30278591,,,,,,,,,
2060,19694237.120185476,,,,,,,,,
