Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,304732.4618119783,,,,,,,,,
2015,475099.2777634753,,,,,,,,,
2016,660286.8098513471,,,,,,,,,
2017,853343.2251925473,,,,,,,,,
2018,1055789.453035265,,,,,,,,,
2019,1120382.9944634885,,,,,,,,,
2020,1184976.5358916968,,,,,,,,,
2021,1249570.07731992,,,,,,,,,
2022,1314163.6187481284,,,,,,,,,
2023,1378757.1601763517,,,,,,,,,
2024,1443350.701604575,,,,,,,,,
2025,1507944.2430327833,,,,,,,,,
2026,1572537.7844610065,,,,,,,,,
2027,1637131.3258892149,,,,,,,,,
2028,1701724.8673174381,,,,,,,,,
2029,1766318.4087456614,,,,,,,,,
2030,1830911.9501738697,,,,,,,,,
2031,1895505.491602093,,,,,,,,,
2032,1960099.0330303013,,,,,,,,,
2033,2024692.5744585246,,,,,,,,,
2034,2089286.1158867478,,,,,,,,,
2035,2153879.657314956,,,,,,,,,
2036,2218473.1987431794,,,,,,,,,
2037,2283066.740171388,,,,,,,,,
2038,2347660.281599611,,,,,,,,,
2039,2412253.8230278343,,,,,,,,,
2040,2476847.3644560426,,,,,,,,,
2041,2541440.905884266,,,,,,,,,
2042,2606034.4473124743,,,,,,,,,
2043,2670627.9887406975,,,,,,,,,
2044,2735221.5301689208,,,,,,,,,
2045,2799815.071597129,,,,,,,,,
2046,2864408.6130253524,,,,,,,,,
2047,2929002.1544535607,,,,,,,,,
2048,2993595.695881784,,,,,,,,,
2049,3058189.237310007,,,,,,,,,
2050,3122782.7787382156,,,,,,,,,
2051,3187376.320166439,,,,,,,,,
2052,3251969.861594647,,,,,,,,,
2053,3316563.4030228704,,,,,,,,,
2054,3381156.9444510937,,,,,,,,,
2055,3445750.485879302,,,,,,,,,
2056,3510344.0273075253,,,,,,,,,
2057,3574937.5687357336,,,,,,,,,
2058,3639531.110163957,,,,,,,,,
2059,3704124.65159218,,,,,,,,,
2060,3768718.1930203885,,,,,,,,,
