Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,110279779.2227809,,,,,,,,,
2013,113718213.31188148,,,,,,,,,
2014,118854240.97243018,,,,,,,,,
2015,120148998.33775987,,,,,,,,,
2016,124099782.30255406,,,,,,,,,
2017,129725792.37165041,,,,,,,,,
2018,134573656.50294834,,,,,,,,,
2019,133170648.3184245,,,,,,,,,
2020,135911505.6564257,,,,,,,,,
2021,138472811.16241682,,,,,,,,,
2022,140892499.06831282,,,,,,,,,
2023,143196129.57848722,,,,,,,,,
2024,145387770.50016072,,,,,,,,,
2025,147488976.67847052,,,,,,,,,
2026,149456056.94253725,,,,,,,,,
2027,151347598.94487116,,,,,,,,,
2028,153153654.91092005,,,,,,,,,
2029,154881206.3617569,,,,,,,,,
2030,156585769.882228,,,,,,,,,
2031,158127660.75936747,,,,,,,,,
2032,159660002.83205685,,,,,,,,,
2033,161142053.46595404,,,,,,,,,
2034,162582206.08177036,,,,,,,,,
2035,164046746.865505,,,,,,,,,
2036,165366928.21712536,,,,,,,,,
2037,166724145.0048077,,,,,,,,,
2038,168064772.7450882,,,,,,,,,
2039,169393064.92750204,,,,,,,,,
2040,169633728.17071104,,,,,,,,,
2041,172032061.61615714,,,,,,,,,
2042,173354463.65425992,,,,,,,,,
2043,174686379.40690917,,,,,,,,,
2044,176033397.64079872,,,,,,,,,
2045,177316522.94536132,,,,,,,,,
2046,178794827.91987264,,,,,,,,,
2047,180220146.93040735,,,,,,,,,
2048,181682478.6104052,,,,,,,,,
2049,183187280.95008308,,,,,,,,,
2050,185195707.30375123,,,,,,,,,
2051,186345886.4126054,,,,,,,,,
2052,188010385.8841233,,,,,,,,,
2053,189738748.7282152,,,,,,,,,
2054,191536229.8984132,,,,,,,,,
2055,193408056.05282468,,,,,,,,,
2056,195359412.70629773,,,,,,,,,
2057,197395467.38337287,,,,,,,,,
2058,199521404.68614545,,,,,,,,,
2059,201742401.77459046,,,,,,,,,
2060,204063584.66265363,,,,,,,,,
