"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Larsson, 2009. Weight and dimensions of heavy commercial vehicles as established by Directive 96/53/EC and the European Modular System (EMS). Workshop on LHVs",http://ec.europa.eu/transport/modes/road/events/doc/2009_06_24/2009_gigaliners_workshop_acea.pdf,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2010,,25.0,tonnes,,tonnes,,,True
"TIAX, 2011. European Union Greenhouse Gas Reduction Potential for Heavy-Duty Vehicles. Prepared for ICCT",http://ec.europa.eu/clima/policies/transport/vehicles/heavy/docs/icct_ghg_reduction_potential_en.pdf,OECD90,"USA, EU",3 - For Profit,2011,,17.24,tonnes,,tonnes,,,True
"National Academy of Sciences, 2010. Technologies and Approaches to Reducing the Fuel Consumption of Medium- and Heavy-Duty Vehicles",http://www.nap.edu/catalog/12845/technologies-and-approaches-to-reducing-the-fuel-consumption-of-medium-and-heavy-duty-vehicles,OECD90,USA (Class 8b),2 - Public Sector/ Multilateral Agency,2010,,40000.0,pounds,18.14370960001208,tonnes,,,True
"National Academy of Sciences, 2010. Technologies and Approaches to Reducing the Fuel Consumption of Medium- and Heavy-Duty Vehicles",http://www.nap.edu/catalog/12845/technologies-and-approaches-to-reducing-the-fuel-consumption-of-medium-and-heavy-duty-vehicles,OECD90,USA (Class 8b),2 - Public Sector/ Multilateral Agency,2010,,54000.0,pounds,24.494007960016308,tonnes,,,True
"UNCRD and CAI-Asia, 2011. ―Best Practices in Green Freight – for an Environmentally Sustainable Road Freight Sector in Asia.‖ Pasig City, Philippines,",http://www.uncrd.or.jp/content/documents/6EST-5A-BGP.pdf,Asia (Sans Japan),South India,1  - Peer Reviewed,2011,,25.0,tonnes,,tonnes,,,True
EC 2019 Bodies and trailers – development of CO2 emissions determination procedure,https://ec.europa.eu/clima/sites/clima/files/transport/vehicles/heavy/docs/report_bodies_trailers_en.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2019,,19.3,tonnes,,tonnes,,,
EC 2019 Bodies and trailers – development of CO2 emissions determination procedure,https://ec.europa.eu/clima/sites/clima/files/transport/vehicles/heavy/docs/report_bodies_trailers_en.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2019,,12.05,tonnes,,tonnes,,,
EC 2019 Bodies and trailers – development of CO2 emissions determination procedure,https://ec.europa.eu/clima/sites/clima/files/transport/vehicles/heavy/docs/report_bodies_trailers_en.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2019,,63000.0,pounds,28.576342620019027,tonnes,,,
ICCT 2017 HDV Tech Potential,https://theicct.org/sites/default/files/publications/HDV-Technology-Potential-and-Cost-Study_Ricardo_Consultant-Report_26052017_vF.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2017,,19.3,tonnes,,tonnes,,,
ICCT 2017 HDV Tech Potential,https://theicct.org/sites/default/files/publications/HDV-Technology-Potential-and-Cost-Study_Ricardo_Consultant-Report_26052017_vF.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2017,,17.3,tonnes,,tonnes,,,
ICCT 2018,https://theicct.org/sites/default/files/publications/EU-HDV-Tech-Potential_ICCT-white-paper_14072017_vF.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2018,,19.3,tonnes,,tonnes,,,
ICCT 2019 China,https://theicct.org/sites/default/files/publications/China_HDV_long-haul_efficiency_cost_20190312.pdf,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2019,,33.0,tonnes,,tonnes,,,
