"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
McKinsey & Company. (2007). Costs and Potentials of Greenhouse Gas Abatement in Germany.,https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Sustainability/cost%20curve%20PDFs/costs_and_potentials_of_greenhouse_gas_full_report.ashx,OECD90,Germany,3 - For Profit,2007,,0.095,,,,,,True
"H.-M. Henning, V. Bürger, L. Kranzl, W. Schulz, J. Steinbach, J. Kockat, 2013. Development of an Integrated Heat and Cooling Strategy (Phase 2) target system for the building sector in 2050, Fraunhofer ISE, Fraunhofer ISI, IREES, Öko-Institut, Bremer Energy Institute, Vienna University of Technology on behalf of the Federal Ministry for the Environment, Nature Conservation and Nuclear Safety (BMU) (in German)",,OECD90,Germany,2 - Public Sector/ Multilateral Agency,2012,,0.076,,,,,,True
"Felix Chr. Matthes; Julia Busche; Ulrike Döring; Lukas Emele; Sabine Gores; Ralph O. Harthan, Hauke Hermann; Wolfram Jörß; Charlotte Loreck; Margarethe Scheffler , 2013. Policy Scenarios for climate protection VI, Greenhouse gas emission scenarios up to the year 2030 (In German), for the German Federal Ministry of the Environment",https://www.umweltbundesamt.de/sites/default/files/medien/461/publikationen/4412.pdf,OECD90,Germany,2 - Public Sector/ Multilateral Agency,2013,,0.08,,,,,,True
"Steinbach, J., & Staniaszek, D. (2015). Discount rates in energy system analysis Discussion Paper. BPIE: Berlin, Germany.",http://bpie.eu/wp-content/uploads/2015/10/Discount_rates_in_energy_system-discussion_paper_2015_ISI_BPIE.pdf,World,,4 - Independently Verified,2015,,0.06,,,,,,
"Steinbach, J., & Staniaszek, D. (2015). Discount rates in energy system analysis Discussion Paper. BPIE: Berlin, Germany.",http://bpie.eu/wp-content/uploads/2015/10/Discount_rates_in_energy_system-discussion_paper_2015_ISI_BPIE.pdf,World,,4 - Independently Verified,2015,,0.15,,,,,,
"European Commission, Impact Assessment accompanying the Communication from the European Commission: A policy framework for climate and energy in the period from 2020 to 2030,",,EU,,,2014,,0.09,,,,,Power Generation,
"European Commission, Impact Assessment accompanying the Communication from the European Commission: A policy framework for climate and energy in the period from 2020 to 2030,",,EU,,,2014,,0.12,,,,,Industrial Sector,
"European Commission, Impact Assessment accompanying the Communication from the European Commission: A policy framework for climate and energy in the period from 2020 to 2030,",,EU,,,2014,,0.08,,,,,Public Transport,
"European Commission, Impact Assessment accompanying the Communication from the European Commission: A policy framework for climate and energy in the period from 2020 to 2030,",,EU,,,2014,,0.12,,,,,Trucks / Inland Navigation,
"ICCT 2017 HDV, 2018 EU, 2019 China",https://theicct.org/sites/default/files/publications/EU-HDV-Tech-Potential_ICCT-white-paper_14072017_vF.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2018,,0.04,,,,,EU,
ICCT 2018,https://theicct.org/sites/default/files/publications/EU-HDV-Tech-Potential_ICCT-white-paper_14072017_vF.pdf,OECD90,US,2 - Public Sector/ Multilateral Agency,2018,,0.07,,,,,US OMB,
ICCT 2018,https://theicct.org/sites/default/files/publications/EU-HDV-Tech-Potential_ICCT-white-paper_14072017_vF.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2018,,0.1,,,,,upper limit,
Stutzman et al 2017,https://www.sciencedirect.com/science/article/abs/pii/S092552731630398X,World,,,2017,,0.06,,,,,,
