"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"The Carbon War Room, 2012. Unlocking Fuel-Saving technologies in Trucking and Fleets",https://rmi.org/wp-content/uploads/2017/04/Unlocking-Fuel-Saving-Technologies-in-Trucking-and-Fleets-Carbon-War-Room_0.pdf,OECD90,USA,3 - For Profit,2012,,1950000.0,veh-miles,19.349211137062916,million tonne-kms/Truck,,Regarding GVW Class 8 only - 15yr lifespan x 130mi/yr,True
"Smart Freight Centre, 2014. State of Play: Green Freight in Asia",http://www.nucms.nl/tpl/smart-freight-centre/upload/SFC_State%20of%20Play_Green%20Freight%20in%20Asia.pdf,Asia (Sans Japan),China,3 - For Profit,2014,,1500000.0,veh-km,9.248494148529755,million tonne-kms/Truck,,China - Long haul trucks - 15 yr lifespan x 100000km /yr,True
"The Carbon War Room, 2012. Unlocking Fuel-Saving technologies in Trucking and Fleets",https://rmi.org/wp-content/uploads/2017/04/Unlocking-Fuel-Saving-Technologies-in-Trucking-and-Fleets-Carbon-War-Room_0.pdf,OECD90,USA,3 - For Profit,2012,,19.0,years,16.545914086913765,million tonne-kms/Truck,,,True
"Cullen, 2015. Trucking Inside Mexico",http://www.truckinginfo.com/blog/passing-zone/story/2015/12/trucking-inside-mexico.aspx,Latin America,Mexico,5 - Not Verified,2015,,17.9,years,15.58799274503981,million tonne-kms/Truck,,,False
"Roland Berger, 2013. Commercial vehicle perspectives Brazil 2013-2015, Sao Paulo: Roland Berger",https://www.rolandberger.com/gallery/brazil/Commercial_vehicle_perspectives_Brazil_2013-2015.pdf,Latin America,Brazil,3 - For Profit,2013,,17.1,years,14.891322678222389,million tonne-kms/Truck,,,True
"TIAX, 2011. European Union Greenhouse Gas Reduction Potential for Heavy-Duty Vehicles. Prepared for ICCT",http://ec.europa.eu/clima/policies/transport/vehicles/heavy/docs/icct_ghg_reduction_potential_en.pdf,OECD90,EU,3 - For Profit,2011,,8.0,years,6.966700668174217,million tonne-kms/Truck,,,True
"Smart Freight Centre, 2014. State of Play: Green Freight in Asia",http://www.nucms.nl/tpl/smart-freight-centre/upload/SFC_State%20of%20Play_Green%20Freight%20in%20Asia.pdf,Asia (Sans Japan),India,3 - For Profit,2014,,8.65,years,7.532745097463372,million tonne-kms/Truck,,,True
"Schroten, A., Warringa, G. E. A., & Bles, M. (2012). Marginal Abatement Cost Curves for Heavy Duty Vehicles: Background Report. CE Delft.",http://ec.europa.eu/clima/policies/transport/vehicles/heavy/docs/hdv_2012_co2_abatement_cost_curves_en.pdf,OECD90,EU,3 - For Profit,2012,,1040000.0,veh-km,6.412289276313964,million tonne-kms/Truck,,EU - long haul trucks - 8 year lifespan x km/year,True
"Sustainable Freight, Profile of Australia’s Trucking Fleet: Age and Emissions. South Australian Freight Council",www.sustainablefreight.com.au/files/557_trucking_fleet_overview.pdf,OECD90,Australia,4 - Independently Verified,2015,,13.84,years,12.052392155941394,million tonne-kms/Truck,,,
"Sustainable Freight, Profile of Australia’s Trucking Fleet: Age and Emissions. South Australian Freight Council",www.sustainablefreight.com.au/files/557_trucking_fleet_overview.pdf,OECD90,USA,4 - Independently Verified,2015,,7.0,years,6.095863084652439,million tonne-kms/Truck,,,
