Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1280.943508519056,,,,,,,,,
2013,1307.085212774547,,,,,,,,,
2014,1333.7604211985174,,,,,,,,,
2015,1378.722538069184,,,,,,,,,
2016,1435.744361998469,,,,,,,,,
2017,1482.9450260504962,,,,,,,,,
2018,1534.9746668382766,,,,,,,,,
2019,1533.91019006648,,,,,,,,,
2020,1564.174014661511,,,,,,,,,
2021,1593.2028386564566,,,,,,,,,
2022,1622.1540410287334,,,,,,,,,
2023,1650.9775175128818,,,,,,,,,
2024,1679.6363326389098,,,,,,,,,
2025,1708.0724431430187,,,,,,,,,
2026,1736.3791012200943,,,,,,,,,
2027,1764.4854468511478,,,,,,,,,
2028,1792.4221641945849,,,,,,,,,
2029,1820.1903595131923,,,,,,,,,
2030,1847.7793292752622,,,,,,,,,
2031,1875.2218138373191,,,,,,,,,
2032,1902.4914439700203,,,,,,,,,
2033,1929.6173931417895,,,,,,,,,
2034,1956.6239449401035,,,,,,,,,
2035,1983.5499018135517,,,,,,,,,
2036,2010.3424598915205,,,,,,,,,
2037,2037.060963547197,,,,,,,,,
2038,2063.676678923558,,,,,,,,,
2039,2090.17531085384,,,,,,,,,
2040,2116.5319472853794,,,,,,,,,
2041,2142.7852622730156,,,,,,,,,
2042,2168.896839091812,,,,,,,,,
2043,2194.878601145886,,,,,,,,,
2044,2220.7295490690435,,,,,,,,,
2045,2246.4544420154507,,,,,,,,,
2046,2272.0323971686294,,,,,,,,,
2047,2297.4795565992545,,,,,,,,,
2048,2322.7855188422564,,,,,,,,,
2049,2347.9456757493845,,,,,,,,,
2050,2372.9590099299276,,,,,,,,,
2051,2397.813613315756,,,,,,,,,
2052,2422.517088551296,,,,,,,,,
2053,2447.0667121323395,,,,,,,,,
2054,2471.4638347312402,,,,,,,,,
2055,2495.706118909041,,,,,,,,,
2056,2519.8003942357827,,,,,,,,,
2057,2543.7351206745625,,,,,,,,,
2058,2567.512017391546,,,,,,,,,
2059,2591.1299960893084,,,,,,,,,
2060,2614.5875015638258,,,,,,,,,
