Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1280.943508519056,,,,,,,,,
2013,1307.085212774547,,,,,,,,,
2014,1333.7604211985174,,,,,,,,,
2015,1378.722538069184,,,,,,,,,
2016,1435.744361998469,,,,,,,,,
2017,1482.9450260504962,,,,,,,,,
2018,1534.9746668382766,,,,,,,,,
2019,1844.5685387856115,,,,,,,,,
2020,1908.9348221121172,,,,,,,,,
2021,1973.1077326917746,,,,,,,,,
2022,2037.5403995634292,,,,,,,,,
2023,2103.5241956561117,,,,,,,,,
2024,2166.152102761213,,,,,,,,,
2025,2230.4105510615614,,,,,,,,,
2026,2296.691441620277,,,,,,,,,
2027,2365.974386686046,,,,,,,,,
2028,2433.7732491315683,,,,,,,,,
2029,2509.085335586397,,,,,,,,,
2030,2577.0616107387823,,,,,,,,,
2031,2647.667320061052,,,,,,,,,
2032,2729.9849082260803,,,,,,,,,
2033,2801.75076871292,,,,,,,,,
2034,2874.9404268187895,,,,,,,,,
2035,2950.783860643176,,,,,,,,,
2036,3026.0785619748017,,,,,,,,,
2037,3118.550364872036,,,,,,,,,
2038,3198.188237690255,,,,,,,,,
2039,3281.3617637122225,,,,,,,,,
2040,3365.1238379141623,,,,,,,,,
2041,3451.3591123783863,,,,,,,,,
2042,3539.902155708387,,,,,,,,,
2043,3630.180367389286,,,,,,,,,
2044,3727.6696631719633,,,,,,,,,
2045,3827.040130466,,,,,,,,,
2046,3921.63521845337,,,,,,,,,
2047,4017.9619055929343,,,,,,,,,
2048,4121.069067516617,,,,,,,,,
2049,4223.609081784927,,,,,,,,,
2050,4331.588242626996,,,,,,,,,
2051,,,,,,,,,,
2052,,,,,,,,,,
2053,,,,,,,,,,
2054,,,,,,,,,,
2055,,,,,,,,,,
2056,,,,,,,,,,
2057,,,,,,,,,,
2058,,,,,,,,,,
2059,,,,,,,,,,
2060,,,,,,,,,,
