Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1435.0729124500976,,,,,,,,,
2013,1502.490382298971,,,,,,,,,
2014,1523.491464812742,,,,,,,,,
2015,1756.3813549222582,,,,,,,,,
2016,1830.187300716255,,,,,,,,,
2017,1896.5748708478475,,,,,,,,,
2018,1978.2359281860474,,,,,,,,,
2019,2060.7868744354632,,,,,,,,,
2020,2127.8254994115287,,,,,,,,,
2021,2205.6133767039096,,,,,,,,,
2022,2273.3433416866055,,,,,,,,,
2023,2358.684652292578,,,,,,,,,
2024,2441.528436522246,,,,,,,,,
2025,2511.017403052519,,,,,,,,,
2026,2608.1338366525074,,,,,,,,,
2027,2679.4961278558176,,,,,,,,,
2028,2759.746053888531,,,,,,,,,
2029,2832.936919815371,,,,,,,,,
2030,2913.8869696297425,,,,,,,,,
2031,2989.3173159110393,,,,,,,,,
2032,3075.790126977012,,,,,,,,,
2033,3153.9206506804403,,,,,,,,,
2034,3237.998523360853,,,,,,,,,
2035,3319.0944486737176,,,,,,,,,
2036,3413.3185438925207,,,,,,,,,
2037,3497.924644697442,,,,,,,,,
2038,3610.9137801146917,,,,,,,,,
2039,3699.81973664925,,,,,,,,,
2040,3802.0335398520024,,,,,,,,,
2041,3895.3229170615973,,,,,,,,,
2042,3990.8426963520046,,,,,,,,,
2043,4096.643258233562,,,,,,,,,
2044,4197.069904675206,,,,,,,,,
2045,4300.018200072056,,,,,,,,,
2046,4417.48073722964,,,,,,,,,
2047,4526.03038104748,,,,,,,,,
2048,4637.408648650441,,,,,,,,,
2049,4767.838149187076,,,,,,,,,
2050,4885.522050809582,,,,,,,,,
2051,5027.667049846314,,,,,,,,,
2052,5163.015049807413,,,,,,,,,
2053,5302.841757332213,,,,,,,,,
2054,5447.317286381609,,,,,,,,,
2055,5596.6117509165,,,,,,,,,
2056,5750.895264897777,,,,,,,,,
2057,5910.337942286342,,,,,,,,,
2058,6075.109897043087,,,,,,,,,
2059,6245.381243128908,,,,,,,,,
2060,6421.322094504701,,,,,,,,,
