Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,25197.39614940661,,,,,,,,,
2013,26470.67601572812,,,,,,,,,
2014,27726.98687330626,,,,,,,,,
2015,28919.399438481298,,,,,,,,,
2016,30197.311640009815,,,,,,,,,
2017,31434.44362583619,,,,,,,,,
2018,32669.12441391901,,,,,,,,,
2019,33904.14535150496,,,,,,,,,
2020,35314.4762789096,,,,,,,,,
2021,36386.95330624366,,,,,,,,,
2022,37641.17562295299,,,,,,,,,
2023,38908.37906257343,,,,,,,,,
2024,40191.98976872206,,,,,,,,,
2025,41369.25215447308,,,,,,,,,
2026,42821.97244291181,,,,,,,,,
2027,44174.91969987032,,,,,,,,,
2028,45557.62900854564,,,,,,,,,
2029,46973.4925328471,,,,,,,,,
2030,48462.84792762638,,,,,,,,,
2031,49918.25856821348,,,,,,,,,
2032,51453.93370703065,,,,,,,,,
2033,53036.386394808025,,,,,,,,,
2034,54669.09758610515,,,,,,,,,
2035,56256.54381253341,,,,,,,,,
2036,58099.15242025739,,,,,,,,,
2037,59903.35162350069,,,,,,,,,
2038,61771.634896649295,,,,,,,,,
2039,63707.516919923044,,,,,,,,,
2040,65707.16263810974,,,,,,,,,
2041,67796.02684647836,,,,,,,,,
2042,69955.53522412453,,,,,,,,,
2043,72196.35782948282,,,,,,,,,
2044,74521.78155918639,,,,,,,,,
2045,77086.18316014437,,,,,,,,,
2046,79439.67306736798,,,,,,,,,
2047,82038.87225354822,,,,,,,,,
2048,84736.02623840509,,,,,,,,,
2049,87534.44711067832,,,,,,,,,
2050,90362.84394425708,,,,,,,,,
2051,93448.3452039332,,,,,,,,,
2052,96570.4780694966,,,,,,,,,
2053,99806.87130403385,,,,,,,,,
2054,103160.44163117754,,,,,,,,,
2055,106634.18618000456,,,,,,,,,
2056,110231.2971538218,,,,,,,,,
2057,113955.15217766936,,,,,,,,,
2058,117809.1630322442,,,,,,,,,
2059,121796.85156628993,,,,,,,,,
2060,125921.762302046,,,,,,,,,
