Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,0.3931316547910567,,,,,
2013,,,,,0.6119763249151049,,,,,
2014,,,,,0.8565671436776812,,,,,
2015,,,,,1.1137405499376953,,,,,
2016,,,,,1.3840322573626818,,,,,
2017,,,,,1.6679779796201764,,,,,
2018,,,,,1.966113430377713,,,,,
2019,,,,,2.278974323302827,,,,,
2020,,,,,2.5553557561418683,,,,,
2021,,,,,2.951015290325925,,,,,
2022,,,,,3.3112667917589795,,,,,
2023,,,,,3.6883865900297508,,,,,
2024,,,,,4.082910398805773,,,,,
2025,,,,,4.5210140300971515,,,,,
2026,,,,,4.926312902543712,,,,,
2027,,,,,5.376263024840696,,,,,
2028,,,,,5.8457600123130735,,,,,
2029,,,,,6.335339578628375,,,,,
2030,,,,,6.879803958843492,,,,,
2031,,,,,7.376889302457895,,,,,
2032,,,,,7.929930887307182,,,,,
2033,,,,,8.505197905669535,,,,,
2034,,,,,9.103226071212488,,,,,
2035,,,,,9.724551097603573,,,,,
2036,,,,,10.369708698510332,,,,,
2037,,,,,11.039234587600292,,,,,
2038,,,,,11.733664478540994,,,,,
2039,,,,,12.453534084999967,,,,,
2040,,,,,13.1699104355004,,,,,
2041,,,,,13.971735299142875,,,,,
2042,,,,,14.77113833416188,,,,,
2043,,,,,15.598123939369298,,,,,
2044,,,,,16.453227828432663,,,,,
2045,,,,,17.336985715019512,,,,,
2046,,,,,18.249933312797378,,,,,
2047,,,,,19.192606335433805,,,,,
2048,,,,,20.16554049659631,,,,,
2049,,,,,21.16927150995244,,,,,
2050,,,,,22.211938495694707,,,,,
2051,,,,,23.27126694791571,,,,,
2052,,,,,24.37060279985792,,,,,
2053,,,,,25.50287835866388,,,,,
2054,,,,,26.66862933800115,,,,,
2055,,,,,27.868391451537246,,,,,
2056,,,,,29.102700412939708,,,,,
2057,,,,,30.372091935876075,,,,,
2058,,,,,31.67710173401388,,,,,
2059,,,,,33.01826552102065,,,,,
2060,,,,,34.39611901056393,,,,,
