Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,579186.8410143651,145742.2635095156,50457.562857592864,258141.06572675912,56001.38303035525,68844.56589014224,,,,
2015,592122.7597439925,148997.36176576943,51584.51341344069,263906.5486599909,57252.152710064605,70382.18319472682,,,,
2016,605340.9630528921,152323.4920113981,52736.056019545416,269797.84460721305,58530.21639186092,71953.3540228746,,,,
2017,618847.4662623438,155722.16789705277,53912.71471828869,275817.63457105873,59836.15569515816,73558.79338078544,,,,
2018,632648.409797837,159194.93455367628,55115.024450872836,281968.65531256533,61170.56433565469,75199.23114506785,,,,
2019,646750.0617269865,162743.3692311254,56343.53127841886,288253.7004823125,62534.04837072355,76875.4123644062,,,,
2020,661158.8203474499,166369.08194937496,57598.79260742042,294675.62177384575,63927.226449637266,78588.09756717144,,,,
2021,675881.216826516,170073.71616272442,58881.37741969943,301237.3301001296,65350.73006878887,80338.06307517359,,,,
2022,690923.9178920164,173858.9494369187,60191.86650683261,307941.79679287516,66805.20383187516,82126.10132351471,,,,
2023,706293.7285773602,177726.49413988818,61530.852709293315,314792.0548259902,68291.30571531321,83953.02118687521,,,,
2024,721997.5950198604,181678.09814589898,62898.94116023595,321791.20006278116,69809.70733880968,85819.64831213458,,,,
2025,738042.607314637,185715.54555368764,64296.74953412209,328942.3925279254,71361.09424130365,87726.82545759824,,,,
2026,754436.0024251761,189840.65741885264,65724.90830028243,336248.8577046945,72946.16616238772,89675.41283895874,,,,
2027,771185.1671502378,194055.292500425,67184.06098138767,343713.88785729295,74565.63732917728,91666.28848195485,,,,
2028,788297.6411503879,198361.34802244222,68674.86441711365,351340.8433797694,76220.23674894488,93700.3485821177,,,,
2029,805781.1200331697,202760.76045027783,70197.98903291527,359133.1541710649,77910.70850742447,95778.5078714872,,,,
2030,823643.4584995013,207255.50628237744,71754.11911413404,367094.3210373483,79637.81207303547,97901.69999260601,,,,
2031,841892.6735517334,211847.60285751053,73343.95308547748,375227.9171218339,81402.32260706887,100070.87787984258,,,,
2032,860536.9477649553,216539.10917793756,74968.20379600857,383537.58936278813,83205.03127998867,102287.01414823235,,,,
2033,879584.6326222878,221332.1267486781,76627.59880970958,392027.0599800553,85046.74559392026,104551.10148992452,,,,
2034,899044.2519160644,226228.8004333589,78322.88070178594,400700.12799094943,86928.2897115095,106864.15307846061,,,,
2035,918924.5052152722,231231.31932673478,80054.80736074255,409560.6707556773,88850.50479118843,109227.20298092911,,,,
2036,939234.2714016276,236341.91764448048,81824.15229643942,418612.6455533523,90814.24932907727,111641.30657827802,,,,
2037,959982.6122743752,241562.87563027532,83631.70495413431,427860.09118863795,92820.39950753115,114107.5409937964,,,,
2038,981178.7762261442,246896.52048076838,85478.27103471574,437307.1296300604,94869.84955055757,116627.005530042,,,,
2039,1002832.2019906042,252345.2272886107,87364.672821191,446957.9676803233,96963.51208617586,119200.82211430329,,,,
2040,1024952.5224638353,257911.42000403642,89291.74951159612,456816.89867947507,99102.3185159043,121830.13575282335,,,,
2041,1047549.5685998537,263597.57241510367,91260.35755836594,466888.30424112844,101287.2193914171,124516.11499383845,,,,
2042,1070633.3733829646,269406.2091472682,93271.37101439737,477176.6560229206,103519.18479862993,127259.95239974845,,,,
2043,1094214.1758774915,275339.9066824267,95325.68188585337,487686.51753146,105799.2047492669,130062.86502848448,,,,
2044,1118302.425356573,281401.2943978568,97424.20049185531,498422.54596251325,108128.28958007254,132926.094924275,,,,
2045,1142908.7855116557,287593.05562546244,99567.85583120523,509389.4940771579,110507.47035982629,135850.9096180038,,,,
2046,1168044.1387445559,293917.92873179604,101757.59595630142,520592.21211473586,112937.79930434041,138838.6026373821,,,,
2047,1193719.5905424221,300378.70821894205,103994.38835427615,532035.6497427549,115420.35019947388,141890.4940269752,,,,
2048,1219946.4739388693,306978.2458470829,106279.22033564046,543724.8580451969,117956.21883247771,145007.9308784713,,,,
2049,1246736.354061328,313719.45177876065,108613.09943043989,555664.9915492523,120546.52343167682,148192.2878711984,,,,
2050,1274101.032767892,320605.2957456582,110997.05379220693,567861.310291942,123192.40511480518,151444.9678232795,,,,
2051,1302052.553373553,327638.8082378747,113432.13260970112,580319.1819265807,125895.028345984,154767.40225341253,,,,
2052,1330603.2054689168,334823.0817164702,115919.40652670531,593044.0838704567,128655.5814016416,158161.05195364295,,,,
2053,1359765.5298325124,342161.2718495635,118459.96806997618,606041.605494228,131475.27684548314,161627.40757326147,,,,
2054,1389552.3234387792,349656.5987725045,121054.93208552962,619317.4503539596,134355.3520127111,165167.99021407435,,,,
2055,1419976.6445631501,357312.3483724789,123705.43618338509,632877.4384664372,137297.06950363415,168784.35203721467,,,,
2056,1451051.8179865396,365131.87359812745,126412.64119096982,646727.5086287851,140301.7176868873,172478.07688176975,,,,
2057,1482791.4403007245,373118.595794552,129177.73161531273,660873.7207830515,143370.6112124075,176250.78089540073,,,,
2058,1515209.38531642,381276.00606416364,132001.9161141848,675322.2584265639,146505.0915343386,180104.11317716903,,,,
2059,1548319.8095771023,389607.6666541398,134886.4279764519,690079.4310694169,149706.5274441611,184039.75643293245,,,,
2060,1582137.1579788912,398117.21237057017,137832.52561166743,705151.676739229,152976.31561407668,188059.4276433478,,,,
