"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,World,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,1.0,Global median is taken as the population-weighted median of each region utilitys' data for countries available in IB-NET database,
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,OECD90,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Region's median is taken as the median of utilitys' data of countries for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Region's median is taken as the median of utilitys' data of countries for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,Asia (Sans Japan),,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Region's median is taken as the median of utilitys' data of countries for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,Middle East and Africa,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Region's median is taken as the median of utilitys' data of countries for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,Latin America,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Region's median is taken as the median of utilitys' data of countries for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,China,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Country's water production is taken as the median of utilities for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,India,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Country's water production is taken as the median of utilities for which data is available in IB-NET database,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,EU,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Per capita water production in EU is assumed to be similar to that in OECD90 countries,1.0
Median of Water Production data obtained from IB-NET database,https://database.ib-net.org,USA,,2 - Public Sector/ Multilateral Agency,2016,,,ltr/person/day,0.0,million m3/person/year,0.0,Country's water production is taken as the median of utilities for which data is available in IB-NET database,1.0
