"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,World,,2 - Public Sector/ Multilateral Agency,2014,,,%,,,1.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,OECD90,,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,Eastern Europe,Caucasus,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,Asia (Sans Japan),"Southern Asia, South-East Asia",2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,Middle East and Africa,Middle East,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,Middle East and Africa,Sub-Saharan Africa,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,Middle East and Africa,Northern Africa,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,Latin America,Latin America & Caribbean,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,China,,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,India,,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,EU,UK,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,Percent for UK is taken for EU,
"WHO/UNICEF Water Supply Statistics, 2015",https://data.unicef.org/topic/water-and-sanitation/drinking-water/,USA,,2 - Public Sector/ Multilateral Agency,2014,,,%,,,0.0,,
