Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,86258.8944386277,47682.03190261272,4073.8082487994293,6769.84929549951,2953.8341351121285,6285.913968733874,4032.872514082117,0.0,17068.659334827385,15745.696331164674
2015,107062.81850777415,55887.65199108956,5271.206737460139,14862.308674166641,4564.873800855143,7832.598721361211,9973.95297326367,0.0,20330.40658960532,19028.7489616771
2016,127979.72745183078,64130.98949999279,6388.912938144735,21251.438808386752,5924.533140750804,9428.091917606884,13562.667936974029,0.0,23676.29408576755,22339.7430232735
2017,148978.22347604053,72366.38331475413,7495.628294276612,27557.64785280767,7301.514193737261,11042.077682850835,17044.829935263973,0.0,27031.898654053715,25656.405712532884
2018,170062.43222550364,80595.75620003829,8591.860937710306,33784.63090385286,8697.682534308626,12674.625750649833,20423.818528628246,0.0,30397.30393549311,28979.27723171181
2019,191236.47934532035,88821.03092051002,9678.119000300347,39936.083057945805,10114.903736959013,14325.80585456064,23703.013277561586,0.0,33772.593571115,32308.8977830668
2020,212504.49048059096,97044.13024083403,10754.91061390127,46015.69941150996,11555.043376182528,15995.68772814002,26885.793742558733,0.0,37157.85120194868,35645.8075688544
2021,219494.10886997776,98917.42563473531,11143.775868901035,50898.866845052224,12527.661337287933,16636.688776822426,29303.394065100736,0.0,37708.38391321885,36366.26406947035
2022,226585.94256501892,100792.39115781832,11524.190938620746,55717.58867091265,13526.92888395469,17296.53106228694,31631.33922469603,500.6552312497185,38269.05190175937,37095.09020903198
2023,233784.1172108148,102670.94957474776,11896.663954914939,60475.5599855147,14554.711590676916,17975.28431809032,33873.008781839344,2095.838867331561,38839.9388085995,37832.82618979581
2024,241092.75845246555,104555.02365018838,12261.703049638143,65176.47588528186,15612.875031948715,18673.018277789335,36031.78229702543,3667.8347313089143,39421.12827476853,38580.01221401839
2025,248515.99193507145,106446.53614880488,12619.816354644894,69824.03146663758,16703.284782264207,19389.802674940747,38111.039330749016,5219.559056500452,40012.70394129574,39337.18848395624
