Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,0.9626,,,,,,,,,
2013,0.9256,,,,,,,,,
2014,0.9987999999999999,,,,,,,,,
2015,1.0081,,,,,,,,,
2016,1.0236,,,,,,,,,
2017,1.041,,,,,,,,,
2018,2.543004263493676,,,,,,,,,
2019,3.223668773566443,,,,,,,,,
2020,4.007339382181132,,,,,,,,,
2021,4.895176171384025,,,,,,,,,
2022,5.888339223221407,,,,,,,,,
2023,6.987988619739559,,,,,,,,,
2024,8.195284442984768,,,,,,,,,
2025,9.511386775003311,,,,,,,,,
2026,10.937455697841477,,,,,,,,,
2027,12.474651293545543,,,,,,,,,
2028,14.1241336441618,,,,,,,,,
2029,15.887062831736523,,,,,,,,,
2030,17.82248243884152,,,,,,,,,
2031,19.757902045946516,,,,,,,,,
2032,21.86813223667435,,,,,,,,,
2033,24.096449592545785,,,,,,,,,
2034,26.444014195607103,,,,,,,,,
2035,28.911986127904594,,,,,,,,,
2036,31.501525471484534,,,,,,,,,
2037,34.2137923083932,,,,,,,,,
2038,37.04994672067689,,,,,,,,,
2039,40.01114879038189,,,,,,,,,
2040,43.1622425103114,,,,,,,,,
2041,46.31333623024091,,,,,,,,,
2042,49.6566417644875,,,,,,,,,
2043,53.12963528434054,,,,,,,,,
2044,56.73347687184627,,,,,,,,,
2045,60.469326609051016,,,,,,,,,
2046,64.33834457800106,,,,,,,,,
2047,68.34169086074264,,,,,,,,,
2048,72.48052553932207,,,,,,,,,
2049,76.75600869578565,,,,,,,,,
2050,81.4,,,,,,,,,
2051,85.72156077055034,,,,,,,,,
2052,90.413949852944,,,,,,,,,
2053,95.24762774140692,,,,,,,,,
2054,100.2237545179854,,,,,,,,,
2055,105.34349026472572,,,,,,,,,
2056,110.60799506367414,,,,,,,,,
2057,116.01842899687695,,,,,,,,,
2058,121.57595214638046,,,,,,,,,
2059,127.28172459423092,,,,,,,,,
2060,133.13690642247462,,,,,,,,,
