Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,21534.0,10231.670335473522,1750.885081188404,7496.292863295763,1493.8880745287606,1669.8152348069561,5170.900023352471,1094.3784992896253,3220.0976114116247,4239.611895200622
2013,22203.0,10347.79666328459,1789.7967607252413,7920.532951014013,1546.2950377763655,1732.4516219698698,5436.338829834603,1193.4677778503633,3243.75863551411,4286.837058682451
2014,22548.299,10407.893749397464,1827.842984722666,8354.325051751766,1620.898517777934,1807.2534336014699,5602.1726439225,1321.000300997923,3235.193552549956,4291.950384210212
2015,24654.74422621316,10521.495631402855,1869.229919078037,8780.75789939568,1675.193687457622,1870.4040418171503,5858.490532115161,1422.7483291118633,3255.6960549785776,4336.090209218713
2016,25360.866718417587,10634.44654265383,1910.346403388586,9208.287643170846,1729.5585891624937,1933.6340759919965,6114.989070472085,1524.9007360349092,3275.7496433420415,4380.248294810151
2017,26083.999068014287,10746.756613388889,1951.2611358490294,9636.863994756923,1783.982548436564,1996.9030688229318,6371.701850816529,1627.4492819831398,3295.3326514762703,4424.395300929894
2018,26822.840395284104,10858.497329197487,1992.0190107913963,10066.256626749948,1838.4930713226768,2060.182333094467,6628.516132849869,1730.3441048119396,3314.4515420348253,4468.5393498155145
2019,27575.93685671793,10969.793218173847,2032.7367677740458,10496.040653122305,1893.1303032828775,2123.418329992954,6885.207552218452,1833.4554797335738,3333.1016658973404,4512.673671821392
2020,28255.691815138165,11080.754279032388,2073.503656178878,10925.863997614375,1947.9203197715842,2186.5688363483746,7141.586708672166,1936.6698739625317,3339.456508445299,4556.78954827658
2021,29119.653533847923,11198.34735226451,2134.4836643910526,11380.618236439548,2017.1664564129267,2262.622655442382,7396.192875798164,2056.026963852492,3368.9948902992737,4597.783759594243
2022,29908.152813410663,11315.625624197744,2195.4797894504018,11835.373594725495,2086.580610207021,2338.596780096334,7650.474581039803,2175.5141288306736,3386.257721795747,4638.788798226629
2023,30706.44766930971,11432.726353003543,2256.4770609640896,12290.21993697621,2156.119533784911,2414.494200583116,7904.443740723899,2295.1608047596287,3403.024713547132,4679.748171908726
2024,31513.639004906185,11549.822211680483,2317.4541874054466,12745.349782504383,2225.720240849744,2490.324299071736,8158.148229062841,2415.028357179867,3419.239187968873,4720.582593115837
2025,32203.406548943858,11667.045567629177,2378.39225889045,13200.92838405849,2295.3332200298314,2566.095634020738,8411.633901501573,2535.1688014536653,3416.591992511744,4761.236893573562
2026,33150.9188127085,11781.359951323579,2441.420109225108,13723.829098595193,2370.803133145014,2643.921113348342,8699.671221404848,2686.2732770467737,3449.8852725429824,4805.727107335874
2027,33978.923595768116,11895.863637007438,2504.4046763228166,14247.236300233762,2446.2803258515705,2721.685516204019,8987.459868416916,2837.702988669444,3464.3261092938033,4850.0393677614975
2028,34811.83123285455,12010.53033091742,2567.328399626268,14771.198866522982,2521.7650437278407,2799.3993153995602,9275.045235138601,2989.4502156422477,3478.2137709530807,4894.210687542126
2029,35648.66544763491,12125.297453645098,2630.1699741539132,15295.765473204616,2597.266107021751,2877.0767211768457,9562.48960316635,3141.4941719419585,3491.5899157642325,4938.297462529865
