"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Lewis et al(2011) Lewis, A., S. Estefen, J. Huckerby, W. Musial, T. Pontes, J. Torres-Martinez, 2011: Ocean Energy. In IPCC Special Report on Renewable Energy Sources and Climate Change Mitigation [O. Edenhofer, R. Pichs-Madruga, Y. Sokona, K. Seyboth, P. Matschoss, S. Kadner, T. Zwickel, P. Eickemeier, G. Hansen, S. Schlömer, C. von Stechow (eds)], Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",https://www.ipcc.ch/pdf/special-reports/srren/Chapter%206%20Ocean%20Energy.pdf,World,,1  - Peer Reviewed,2011,,0.11,%,,%,,,
Hayward and Graham (2013) - ocean current/tidal,http://www.sciencedirect.com/science/article/pii/S0140988313001837,World,,1  - Peer Reviewed,2013,,0.2,%,,%,,ocean current/tidal,
JRC ETRI (2014) Wave - average,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,2 - Public Sector/ Multilateral Agency,2014,,0.12,%,,%,,Wave,
JRC ETRI (2014) Tidal - average,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,2 - Public Sector/ Multilateral Agency,2014,,0.12,%,,%,,Tidal,
"Zeyringer et al (2018)__Zeyringer, M., Fais, B., Keppo, I., & Price, J. (2018). The potential of marine energy technologies in the UK – Evaluation from a systems perspective. Renewable Energy, 115, 1281–1293. https://doi.org/10.1016/j.renene.2017.07.092",https://www.sciencedirect.com/science/article/pii/S096014811730719X,EU,UK,1  - Peer Reviewed,2018,,0.15,%,,%,,,
"Zeyringer et al (2018)__Zeyringer, M., Fais, B., Keppo, I., & Price, J. (2018). The potential of marine energy technologies in the UK – Evaluation from a systems perspective. Renewable Energy, 115, 1281–1293. https://doi.org/10.1016/j.renene.2017.07.093",https://www.sciencedirect.com/science/article/pii/S096014811730719X,EU,UK,1  - Peer Reviewed,2018,,0.2,%,,%,,,
"MacGillivray (2016)_MacGillivray, A. J. (2016). Economically sustainable development of wave and tidal stream energy technologies. Retrieved from https://www.era.lib.ed.ac.uk/handle/1842/25405",https://www.era.lib.ed.ac.uk/handle/1842/25405,World,,4 - Independently Verified,2016,,0.09,%,,%,,Low Scenario LR-Ocean energy,
"MacGillivray (2016)_MacGillivray, A. J. (2016). Economically sustainable development of wave and tidal stream energy technologies. Retrieved from https://www.era.lib.ed.ac.uk/handle/1842/25406",https://www.era.lib.ed.ac.uk/handle/1842/25406,World,,4 - Independently Verified,2016,,0.15,%,,%,,High Scenario LR - Ocean energy,
"MacGillivray (2016)_MacGillivray, A. J. (2016). Economically sustainable development of wave and tidal stream energy technologies. Retrieved from https://www.era.lib.ed.ac.uk/handle/1842/25407",https://www.era.lib.ed.ac.uk/handle/1842/25407,World,,4 - Independently Verified,2016,,0.12,%,,%,,Ref sceanrio LR-all based on Carbon Trust (2011),
"MacGillivray (2016)_MacGillivray, A. J. (2016). Economically sustainable development of wave and tidal stream energy technologies. Retrieved from https://www.era.lib.ed.ac.uk/handle/1842/25408",https://www.era.lib.ed.ac.uk/handle/1842/25408,World,,4 - Independently Verified,2016,,0.18,%,,%,,Higher LR based on plausible future outlook,
"Tsiropoulos et al (2018)_Tsiropoulos, I., Tarvydas, D., & Zucker, A. (2018). Cost development of low carbon energy technologies (p. 77). European Commission, Joint Research Centre. Retrieved from http://publications.jrc.ec.europa.eu/repository/bitstream/JRC109894/cost_development_of_low_carbon_energy_technologies_v2.2_final_online.pdf",http://publications.jrc.ec.europa.eu/repository/bitstream/JRC109894/cost_development_of_low_carbon_energy_technologies_v2.2_final_online.pdf,EU,,2 - Public Sector/ Multilateral Agency,2017,,0.1,%,,%,,Reference,
"Tsiropoulos et al (2018)_Tsiropoulos, I., Tarvydas, D., & Zucker, A. (2018). Cost development of low carbon energy technologies (p. 77). European Commission, Joint Research Centre. Retrieved from http://publications.jrc.ec.europa.eu/repository/bitstream/JRC109894/cost_development_of_low_carbon_energy_technologies_v2.2_final_online.pdf",http://publications.jrc.ec.europa.eu/repository/bitstream/JRC109894/cost_development_of_low_carbon_energy_technologies_v2.2_final_online.pdf,EU,,2 - Public Sector/ Multilateral Agency,2017,,0.15,%,,%,,High,
"Tsiropoulos et al (2018)_Tsiropoulos, I., Tarvydas, D., & Zucker, A. (2018). Cost development of low carbon energy technologies (p. 77). European Commission, Joint Research Centre. Retrieved from http://publications.jrc.ec.europa.eu/repository/bitstream/JRC109894/cost_development_of_low_carbon_energy_technologies_v2.2_final_online.pdf",http://publications.jrc.ec.europa.eu/repository/bitstream/JRC109894/cost_development_of_low_carbon_energy_technologies_v2.2_final_online.pdf,EU,,2 - Public Sector/ Multilateral Agency,2017,,0.07,%,,%,,Low,
"Vazquez & Iglesias (2016)_Vazquez, A., & Iglesias, G. (2016). Grid parity in tidal stream energy projects: An assessment of financial, technological and economic LCOE input parameters. Technological Forecasting and Social Change, 104, 89–101. https://doi.org/10.1016/j.techfore.2015.12.007",http://www.sciencedirect.com/science/article/pii/S0040162515004114,World,,1  - Peer Reviewed,2016,,0.06,%,,%,,Tidal stream - low,
