"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IPCC Ocean Energy 2011 ,https://www.ipcc.ch/pdf/special-reports/srren/Chapter 6 Ocean Energy.pdf,World,,1  - Peer Reviewed,2011,,,years,0.0,TWh/TW,,,
IPCC Ocean Energy 2011 ,https://www.ipcc.ch/pdf/special-reports/srren/Chapter 6 Ocean Energy.pdf,World,,1  - Peer Reviewed,2011,,,years,0.0,TWh/TW,,,
IPCC Ocean Energy 2011 ,https://www.ipcc.ch/pdf/special-reports/srren/Chapter 6 Ocean Energy.pdf,World,,1  - Peer Reviewed,2011,,,years,0.0,TWh/TW,,,
"IPCC WG3 AR5, Ocean (Table A.III.1) ",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_full.pdf,World,,1  - Peer Reviewed,2014,,,years,0.0,TWh/TW,,,
IEA (2014) Renewable Energy Medium Term Market Report pg 126,https://www.iea.org/publications/freepublications/publication/MTRMR2014.pdf,World,,2 - Public Sector/ Multilateral Agency,2014,,,years,0.0,TWh/TW,,,
"Laleu, V. (200) - La Rance tidal power Plant (presentation)",http://www.british-hydro.org/downloads/La%20Rance-BHA-Oct%202009.pdf,EU,France,3 - For Profit,2009,,,years,0.0,TWh/TW,,Plant Commissioned in 1966,
JRC (2013) Wave,http://publications.jrc.ec.europa.eu/repository/handle/JRC85804,EU,,2 - Public Sector/ Multilateral Agency,2013,,,years,0.0,TWh/TW,,,
JRC (2013) tidal energy stream and range,http://publications.jrc.ec.europa.eu/repository/handle/JRC85804,EU,,2 - Public Sector/ Multilateral Agency,2013,,,years,0.0,TWh/TW,,,
JRC ETRI (2014) Wave,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,2 - Public Sector/ Multilateral Agency,2014,,,years,0.0,TWh/TW,,,
JRC ETRI (2014) Tidal,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,2 - Public Sector/ Multilateral Agency,2014,,,years,0.0,TWh/TW,,,
