Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,6.869911604132085,,,,,,,,,
2013,7.8099558020660425,,,,,,,,,
2014,8.75,,,,,,,,,
2015,9.690044197933958,,,,,,,,,
2016,10.630088395867915,,,,,,,,,
2017,11.570132593801645,,,,,,,,,
2018,12.510176791735603,,,,,,,,,
2019,13.45022098966956,,,,,,,,,
2020,14.390265187603518,,,,,,,,,
2021,15.330309385537475,,,,,,,,,
2022,16.270353583471206,,,,,,,,,
2023,17.210397781405163,,,,,,,,,
2024,18.15044197933912,,,,,,,,,
2025,19.09048617727308,,,,,,,,,
2026,20.030530375207036,,,,,,,,,
2027,20.970574573140766,,,,,,,,,
2028,21.910618771074724,,,,,,,,,
2029,22.85066296900868,,,,,,,,,
2030,23.79070716694264,,,,,,,,,
2031,24.73075136487637,,,,,,,,,
2032,25.670795562810326,,,,,,,,,
2033,26.610839760744284,,,,,,,,,
2034,27.55088395867824,,,,,,,,,
2035,28.4909281566122,,,,,,,,,
2036,29.43097235454593,,,,,,,,,
2037,30.371016552479887,,,,,,,,,
2038,31.311060750413844,,,,,,,,,
2039,32.2511049483478,,,,,,,,,
2040,33.19114914628176,,,,,,,,,
2041,34.13119334421549,,,,,,,,,
2042,35.07123754214945,,,,,,,,,
2043,36.011281740083405,,,,,,,,,
2044,36.95132593801736,,,,,,,,,
2045,37.89137013595132,,,,,,,,,
2046,38.83141433388505,,,,,,,,,
2047,39.77145853181901,,,,,,,,,
2048,40.711502729752965,,,,,,,,,
2049,41.65154692768692,,,,,,,,,
2050,42.59159112562081,,,,,,,,,
2051,42.59159112562081,,,,,,,,,
2052,42.59159112562081,,,,,,,,,
2053,42.59159112562081,,,,,,,,,
2054,42.59159112562081,,,,,,,,,
2055,42.59159112562081,,,,,,,,,
2056,42.59159112562081,,,,,,,,,
2057,42.59159112562081,,,,,,,,,
2058,42.59159112562081,,,,,,,,,
2059,42.59159112562081,,,,,,,,,
2060,42.59159112562081,,,,,,,,,
