Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,8.749999999999545,,,,,,,,,
2015,10.240898229069444,,,,,,,,,
2016,11.731796458138888,,,,,,,,,
2017,13.222694687208786,,,,,,,,,
2018,14.71359291627823,,,,,,,,,
2019,16.20449114534813,,,,,,,,,
2020,17.695389374417573,,,,,,,,,
2021,19.186287603487017,,,,,,,,,
2022,20.677185832556916,,,,,,,,,
2023,22.16808406162636,,,,,,,,,
2024,23.658982290696258,,,,,,,,,
2025,25.149880519765702,,,,,,,,,
2026,26.6407787488356,,,,,,,,,
2027,28.131676977905045,,,,,,,,,
2028,29.62257520697449,,,,,,,,,
2029,31.113473436044387,,,,,,,,,
2030,32.60437166511383,,,,,,,,,
2031,33.303036772224004,,,,,,,,,
2032,34.001701879333496,,,,,,,,,
2033,34.70036698644299,,,,,,,,,
2034,35.399032093552705,,,,,,,,,
2035,36.097697200662196,,,,,,,,,
2036,36.796362307771915,,,,,,,,,
2037,37.495027414881406,,,,,,,,,
2038,38.193692521991125,,,,,,,,,
2039,38.892357629100616,,,,,,,,,
2040,39.59102273621011,,,,,,,,,
2041,40.289687843319825,,,,,,,,,
2042,40.98835295042932,,,,,,,,,
2043,41.687018057539035,,,,,,,,,
2044,42.385683164648526,,,,,,,,,
2045,43.084348271758245,,,,,,,,,
2046,43.783013378867736,,,,,,,,,
2047,44.481678485977454,,,,,,,,,
2048,45.180343593086945,,,,,,,,,
2049,45.87900870019644,,,,,,,,,
2050,46.577673807306155,,,,,,,,,
2051,47.276338914415646,,,,,,,,,
2052,47.975004021525365,,,,,,,,,
2053,48.673669128634856,,,,,,,,,
2054,49.372334235744574,,,,,,,,,
2055,50.070999342854066,,,,,,,,,
2056,50.769664449963784,,,,,,,,,
2057,51.468329557073275,,,,,,,,,
2058,52.166994664182766,,,,,,,,,
2059,52.865659771292485,,,,,,,,,
2060,53.564324878401976,,,,,,,,,
